CustomerID,Name,Gender,Age,City,Signup_Date,Last_purchase_date,purchase_amount,feedback_score,email,Phone_number,Country
,Rahul,,,Kolkata,2021-07-27,,,,,,USA
106,Priya,Female,,Delhi,2023-02-19,,,,user105@mail.com,,
107,Rahul,Female,,Ahmedabad,2021-04-26,2024-06-05,,,,,Canada
,Pooja,Male,,Ahmedabad,,,,,,,Canada
C109,Ankit,Male,,,,,,,,,USA
110,,,,Delhi,2021-10-25,2023-08-27,,1.0,,9168583214,USA
C111,Simran,,,Bangalore,,,,,user110@mail.com,,UK
C112,Simran,Male,,Kolkata,2024-10-24,,,,,,Australia
,Ravi,,,Pune,2022-02-22,,,,,,
C114,,Female,,,2021-06-24,2024-07-22,1520.66,,,,
115,,,,Pune,2021-07-14,,2625.32,,user114@mail.com,,
,Ravi,Male,,Chennai,,,,2.0,,9985835755,Canada
,Pooja,Male,,Kolkata,2024-07-07,2025-05-13,,,,,Australia
118,Sneha,Male,,,,,,,,9686175993,Canada
C119,Kiran,Male,57.0,Delhi,2021-07-07,,,5.0,,,UK
120,,,,Delhi,,,,5.0,,,USA
121,,,70.0,Hyderabad,,,,,,9888717508,Canada
C122,Sneha,Female,,Pune,,,,,,,USA
,Ankit,,,Chennai,,,,,,,USA
124,Pooja,Male,,Hyderabad,2024-05-11,,,,,,Canada
C125,,Female,,Kolkata,2024-06-08,,,,user124@mail.com,,Canada
126,,Male,33.0,Hyderabad,,,,,,,USA
,,Male,,Delhi,2024-02-01,,,,,,Australia
128,Ankit,Male,,Pune,2024-03-07,,,,user127@mail.com,,India
129,Ankit,Female,,Hyderabad,,,384.1,,,,USA
130,Ravi,Male,46.0,Ahmedabad,,,,,,,USA
,Simran,Male,,Ahmedabad,,,,,,,India
132,Priya,Female,,Ahmedabad,2021-06-12,,,,,,India
133,Ankit,Female,,Chennai,,2020-10-16,101.52,5.0,user132@mail.com,9652552199,
C134,Ankit,Female,,,2025-11-02,,,,,9804907196,
135,Neha,,21.0,Mumbai,2021-05-29,,3106.84,3.0,,,Australia
136,Ankit,,,Delhi,,2025-01-04,177.15,,,,Australia
137,Sneha,Female,39.0,Kolkata,2022-11-11,,,,,,Australia
138,Ankit,Male,,Ahmedabad,2021-06-22,,,5.0,,,USA
139,Amit,Female,,Hyderabad,2024-07-23,,,,,,USA
,Ravi,Male,,Pune,,,4302.36,,,,
C141,Neha,,29.0,Kolkata,,,,,,,USA
C142,Amit,Male,67.0,Kolkata,2024-11-29,,3979.83,,user141@mail.com,,USA
C143,Rahul,Male,,Delhi,2025-05-13,,,,,,Australia
C144,Priya,Male,,,2025-03-13,,,,,,UK
C145,,Female,,,,2025-12-05,,,,,
146,,Male,,Pune,2021-05-05,,819.86,1.0,,,USA
,Pooja,Female,,Chennai,,2021-01-25,4938.36,,,,Australia
148,Amit,,68.0,Chennai,,,,,,9697055735,Canada
C149,Rahul,Female,38.0,Pune,2025-03-16,2026-01-20,,2.0,user148@mail.com,,India
150,Amit,,,Ahmedabad,2025-11-29,,,4.0,,9843663784,Australia
,Kiran,Female,28.0,,,,,,,9234375714,Canada
,Simran,Female,,Hyderabad,2021-07-20,,,,,,
153,Pooja,Female,,Bangalore,,2021-09-14,,1.0,,9771638160,Canada
154,Amit,Male,,Bangalore,,,,,,9720155538,USA
155,Neha,Male,,Bangalore,,2025-12-21,,,,,UK
C156,,Male,35.0,Hyderabad,2020-10-11,,2102.22,,,,India
,Ravi,Male,35.0,,2021-05-15,,,,,,India
158,Pooja,,,Kolkata,,,3902.94,,user157@mail.com,,Australia
C159,Rahul,Female,,Bangalore,2024-10-11,,502.02,,,,India
,,,,Mumbai,2021-03-27,,,,user159@mail.com,,USA
C161,Pooja,Male,35.0,,2023-11-18,,,2.0,,,India
,Pooja,Female,,Kolkata,2021-08-05,,,,,9893390866,USA
163,Amit,,,Chennai,,,,,,9121774277,Canada
C164,Amit,Female,,Pune,2025-01-18,,,,,,USA
165,Pooja,,,Kolkata,,2024-02-09,,,,9313537890,
C166,Rahul,,,Mumbai,,,1368.23,,,,UK
,,Male,26.0,Chennai,2021-04-28,,,,user166@mail.com,,USA
,Ravi,Male,,Pune,,,,,user167@mail.com,,USA
C169,,,,Hyderabad,2022-08-23,,,5.0,user168@mail.com,,
,,Female,,Chennai,,,,,,,India
C171,Kiran,,,Hyderabad,2022-02-24,2024-06-04,,5.0,,,India
C172,Neha,Female,,Bangalore,2023-12-24,,,,,9846259798,Canada
C173,Simran,Female,,,2023-06-02,,,2.0,,,UK
C174,,Female,22.0,Chennai,2024-12-06,,,,,,Australia
175,,Male,,Kolkata,,,,,,9587234990,Canada
176,Kiran,Female,,Chennai,,2022-04-26,,,,9718555066,India
C177,Ankit,,,Pune,,2024-03-26,,,,9980832523,Canada
178,Priya,Male,,Bangalore,2022-03-24,,4177.93,,,,USA
C179,Neha,,,Delhi,,,3779.89,,,9113550160,
,Ankit,Male,,Ahmedabad,,2023-06-10,2578.36,,user179@mail.com,,USA
181,,Female,,,2022-06-10,2023-12-06,,,user180@mail.com,,India
182,,,,,,,,,,,USA
C183,Pooja,Male,,Delhi,,,,,,,India
,Simran,Male,,Delhi,,,2530.03,,,,Canada
C185,,Male,37.0,Hyderabad,,,,2.0,,,UK
,Ravi,Male,,Bangalore,,,,,user185@mail.com,,Australia
187,Sneha,Female,,Pune,2020-12-07,2025-03-08,3124.58,,,9972896838,India
C188,Ankit,,,,,2023-04-13,,,,9237430673,
189,Ravi,,,,2025-10-02,,,,,,Australia
,Sneha,Male,,Hyderabad,,,,,,9987123952,USA
191,Rahul,Male,44.0,,2024-05-20,,,3.0,,9299298806,Canada
192,,Female,18.0,Kolkata,2024-09-27,,3740.72,,,,Australia
C193,Rahul,,,Delhi,2023-10-22,,,1.0,,,India
C194,Amit,Male,,Delhi,2023-03-12,,,,,9714934659,
195,Kiran,Female,,,2023-01-23,,,,,,Canada
196,Ravi,,58.0,Hyderabad,2023-01-11,,,1.0,,,USA
,Pooja,,62.0,,2021-10-25,2023-01-29,1644.7,,user196@mail.com,,India
C199,Simran,Female,,Delhi,2021-05-24,,,,,,UK
C200,Simran,Male,22.0,Pune,,,,4.0,user199@mail.com,,
201,Kiran,Male,,Mumbai,,2022-05-04,2647.56,,user200@mail.com,,India
,Ankit,Male,,Kolkata,,,709.67,1.0,,,UK
C203,Ankit,Male,,Hyderabad,,2024-02-07,3829.56,,,,
,Sneha,Male,,Hyderabad,,,,,user203@mail.com,,USA
205,,Female,,Mumbai,2025-12-21,,,5.0,user204@mail.com,9791865466,
206,Priya,Male,,Pune,,,,2.0,,,UK
207,Simran,Male,,Kolkata,2024-08-24,,,,,,Australia
208,Sneha,,70.0,Ahmedabad,2023-02-16,,,,,,Canada
209,Pooja,Female,28.0,Chennai,,2021-07-26,,,,9390664690,
210,,Female,,Kolkata,,,,,,,USA
C211,Sneha,Female,,Hyderabad,2023-01-27,,,,user210@mail.com,9276155320,
,Ankit,Male,68.0,,,,,,,9846225860,Australia
213,,Male,,Mumbai,,,,,,9505365883,
214,Kiran,Male,,Bangalore,2020-11-03,,,,,,Australia
C215,,Male,,Hyderabad,,2025-05-28,,,user214@mail.com,9401632753,Australia
,,Male,,Ahmedabad,2022-02-19,2025-06-22,,,user215@mail.com,,USA
217,Pooja,Female,,Pune,2020-08-20,,3742.84,,,,Canada
,Ankit,Female,,Ahmedabad,2023-11-08,,,,user217@mail.com,9811991281,Australia
C219,,Female,30.0,Ahmedabad,2021-08-04,,,2.0,,9917761214,
220,Amit,Male,65.0,Ahmedabad,,,909.91,,,,
,Priya,Male,,Ahmedabad,2024-09-13,,,,,,Canada
222,Ravi,Male,,Mumbai,2021-04-26,,3141.85,,,,
223,Kiran,Male,,Delhi,,2024-08-11,4163.86,1.0,,,India
,,Female,18.0,Kolkata,,2024-05-24,4036.77,3.0,,9977208316,
C225,Ravi,Male,,Bangalore,2025-03-03,,,3.0,,,UK
226,Amit,Male,,,,2021-02-16,1994.89,,,,Australia
,Kiran,Female,,Pune,2020-08-09,,,,,,Canada
C228,Pooja,Male,45.0,Kolkata,2024-10-07,,,,,9886044184,UK
C229,Simran,Female,,Delhi,2023-01-27,,,,,,
,Amit,Female,,Mumbai,,2021-05-15,,,user229@mail.com,,UK
231,,Male,50.0,Delhi,,,,,user230@mail.com,,USA
232,,Female,,Bangalore,2020-12-28,,,4.0,,,Australia
233,Neha,Male,31.0,Mumbai,2023-03-28,2023-12-26,,1.0,,,USA
234,,Female,,Bangalore,2025-12-28,,,4.0,user233@mail.com,,Canada
235,Ravi,Male,,Bangalore,,2022-03-05,,,user234@mail.com,9292915130,Australia
236,Ravi,Female,,Bangalore,,,1413.4,2.0,,,USA
237,Ankit,Male,,Mumbai,2025-06-25,,,4.0,,,USA
,,Male,,,,,1385.67,3.0,,9707836199,Canada
,,,,Pune,,,,3.0,,,India
240,Sneha,Male,64.0,Mumbai,,2024-03-27,,,,,USA
241,,Male,,Ahmedabad,,,,,,,UK
242,Pooja,Male,,,,2024-02-29,,5.0,,,UK
243,Neha,Female,,Bangalore,2021-02-02,2025-07-27,4995.66,1.0,,,
244,Kiran,Male,,Ahmedabad,2022-08-06,,,,,,Australia
245,Amit,,,Bangalore,2021-12-13,,,,,,Canada
C246,Ankit,Female,,,2023-09-12,,,,,,Canada
C247,Ankit,Female,,Pune,2022-12-15,,,,,9167697380,India
C248,,Male,,Delhi,,2024-03-04,,,,,India
,Kiran,Female,,Kolkata,,,,,,,
250,Rahul,Female,,Mumbai,2021-08-14,,4031.03,,,9822824862,Australia
251,Ravi,Female,58.0,Mumbai,,2024-05-06,,,,,India
C252,Kiran,,,Delhi,2024-01-16,,,,,,USA
,Kiran,Female,,Ahmedabad,2023-05-22,,4376.34,,,9358695410,India
254,Simran,Female,,,,,3820.96,,,9285061651,USA
255,Ravi,Female,,Mumbai,2023-06-08,,,,,,Australia
,Pooja,Male,,,2024-03-15,,712.93,,,,
,,Female,,Delhi,,,,,,9868484957,
258,Sneha,Female,47.0,Bangalore,,,,,,,UK
259,Ravi,Female,,Hyderabad,,,,,,,USA
260,Neha,Male,,Pune,,,,,user259@mail.com,,UK
261,Sneha,Male,,,2023-04-10,,2823.08,,,,USA
C262,Neha,,,,2021-04-11,,1181.7,,,,Australia
,Priya,Male,,Delhi,,2021-09-23,2531.66,,,,India
,Neha,Female,69.0,Pune,,,,,,,Canada
265,Ankit,Female,,Ahmedabad,2021-03-05,,,1.0,user264@mail.com,,UK
266,Neha,Male,,Pune,2022-11-14,,,,,,USA
267,Ravi,,,Pune,,,,,,,Australia
268,Kiran,Male,,Chennai,2025-11-18,,,,,,India
C269,,Female,,Delhi,2023-04-04,,,,,,Canada
270,,Male,,Pune,,,,,,,USA
,Sneha,,,Bangalore,2023-02-27,,,,,,
272,,Male,,Kolkata,2021-10-04,2023-07-16,,5.0,,,UK
273,Simran,,20.0,Hyderabad,,2023-11-18,2238.05,,,,India
274,,Female,,Mumbai,2025-05-27,,2601.0,2.0,user273@mail.com,,Australia
,Neha,Female,,Ahmedabad,2025-02-16,,993.15,2.0,,,India
276,Pooja,,,Pune,2024-12-21,2025-03-07,2368.71,,,,USA
C277,Rahul,,37.0,Delhi,2022-01-25,,,,user276@mail.com,9324807983,UK
C278,Pooja,Male,,,,,902.19,,,9887534385,India
279,Pooja,Male,,Kolkata,,,,,,,USA
280,Neha,Male,,Ahmedabad,,,2128.85,5.0,,,Canada
C281,Rahul,Female,,Chennai,2024-11-05,,,4.0,user280@mail.com,,Canada
C282,Kiran,Female,,Bangalore,,2020-12-25,4500.88,,user281@mail.com,9945824020,UK
283,,Male,51.0,Pune,2021-11-01,,,,,,
C284,Priya,,,Ahmedabad,,,,4.0,,,Canada
285,Amit,,,Delhi,2023-10-13,,2667.21,,,,UK
286,Priya,Female,,Delhi,2025-02-24,,,,,9741682924,Australia
,Ravi,Male,,Pune,,,,,,,Australia
,Simran,,,Pune,,2021-01-14,4204.21,,user287@mail.com,,Australia
C289,Amit,Female,,Pune,2024-07-27,,,1.0,,9451561433,
,Simran,,40.0,Hyderabad,2025-02-23,,,,user289@mail.com,,Australia
291,,Male,,Hyderabad,,,4281.27,,,,USA
292,Simran,Female,,,,,3142.21,,,9569213258,
,Ankit,Female,,Pune,,2023-04-16,,2.0,,,India
294,Rahul,Male,,Chennai,2022-12-20,,,,,,UK
295,,Male,,Ahmedabad,,,,,user294@mail.com,,
,Simran,,,Delhi,2022-07-11,2025-03-01,2901.09,,,9945374121,UK
297,Sneha,,26.0,Ahmedabad,,2025-03-06,,5.0,,,USA
C298,Simran,Male,61.0,Delhi,2024-02-27,2024-05-29,,,,,USA
C299,Priya,Female,,Pune,2025-07-26,,280.11,4.0,,,USA
,Pooja,,,Kolkata,2025-12-02,,,,user299@mail.com,,USA
301,Amit,Male,,Chennai,,,1591.55,5.0,,,Australia
302,Amit,,41.0,Hyderabad,,,1593.53,,,9533287625,USA
303,Amit,Female,52.0,Kolkata,2024-07-07,,,,,,USA
304,Ankit,Female,64.0,Chennai,2024-09-13,,,,,,India
305,Kiran,Male,,Chennai,2025-08-04,,,,,,
,Kiran,Female,70.0,Bangalore,2023-11-08,,,2.0,,,
307,Ankit,Male,,Chennai,2022-12-26,,,,user306@mail.com,,UK
308,Amit,Male,,Ahmedabad,,,,1.0,,,USA
C309,,Male,,Delhi,,,2403.96,,,,USA
310,,Male,,Ahmedabad,2023-02-26,,,,user309@mail.com,,India
C311,Ravi,Male,,Mumbai,,,,2.0,,,India
,Priya,Male,28.0,Chennai,2021-10-16,2022-04-09,,,,,Canada
,Neha,,,Kolkata,,,,,,9612916888,India
314,Simran,Male,,Mumbai,,,,3.0,user313@mail.com,,USA
,Priya,Male,,,,,174.48,,,9234182935,Canada
C316,Sneha,Male,,Chennai,,,,5.0,,,Canada
317,Kiran,Female,,Chennai,,,1677.55,,,,USA
C318,Ravi,Male,26.0,Mumbai,,2022-04-04,,,,,Australia
319,Priya,,,,,,3555.67,,,9138046997,
320,Amit,,,,2023-04-30,,,,user319@mail.com,,India
321,,Male,,,2023-04-26,,,2.0,,,India
322,,,,Ahmedabad,2022-12-16,2023-11-13,,,user321@mail.com,,
,Priya,,,Chennai,,,,,user322@mail.com,9723807759,Canada
C324,Neha,,,,2022-11-15,2024-12-31,,,,9270474264,India
,,Male,,Pune,2020-10-06,2022-10-18,2294.07,,,,Australia
326,Kiran,Female,,Pune,2022-10-11,,,,,,USA
327,Neha,Male,,Mumbai,,,,5.0,user326@mail.com,9943649906,USA
328,,Female,,Bangalore,2022-03-27,,,,,,India
329,Amit,Male,,Pune,,,,,,,USA
330,Rahul,,67.0,Mumbai,,,,,,,USA
331,Pooja,Female,,Kolkata,,,,3.0,,,Canada
C332,Ravi,Male,,Bangalore,,,,1.0,,,UK
,Pooja,Female,,Hyderabad,2025-02-20,,,,,,India
C334,Ankit,Female,,Bangalore,,,3467.58,2.0,user333@mail.com,9709671208,
335,Pooja,Female,36.0,Kolkata,,,,,,,Australia
336,Kiran,Male,,Hyderabad,2021-06-09,,2013.93,2.0,,,
C337,Ankit,Female,68.0,Chennai,,2020-09-10,,,user336@mail.com,,Australia
338,Kiran,,,Mumbai,2023-04-10,,,,,,Australia
339,Rahul,Female,,Kolkata,,,,2.0,,,USA
C340,,Female,,Kolkata,,,,,user339@mail.com,,USA
341,Pooja,,,Hyderabad,,,,,,,Canada
342,Rahul,Female,,Chennai,2021-11-25,,,,,9799951183,UK
,Ankit,Female,,Hyderabad,,,,,,,India
344,Sneha,Female,,Hyderabad,,2025-07-11,,2.0,,,Canada
345,Pooja,Male,,Ahmedabad,,,,,,,UK
C346,Pooja,Female,,Bangalore,,2025-05-03,,,user345@mail.com,9368527784,Canada
C347,,Male,67.0,Bangalore,2023-07-11,2025-05-16,,,user346@mail.com,,
348,Amit,Male,,Kolkata,2021-07-13,,,4.0,,9852108326,Australia
349,Ravi,,,Chennai,2021-03-15,2024-04-03,,4.0,,,USA
C350,Ravi,Male,,Bangalore,,,4408.13,,,9483049485,UK
,Sneha,Female,,Delhi,2025-03-02,,,,,9396252097,
352,Neha,Male,,Hyderabad,,,,,,9640972891,UK
C353,Ankit,,,Bangalore,2026-01-18,,,,,9983356733,Australia
C354,Ravi,,,Chennai,,,,,,,Canada
C355,,Female,,Pune,,,2209.73,,user354@mail.com,,Canada
C356,,Male,54.0,Chennai,2023-07-22,,,,,,India
357,Ankit,Male,,Chennai,2025-10-26,,,,,9544009651,USA
C358,Pooja,Female,,Bangalore,,2022-09-06,,,,9531164560,Australia
359,,Male,,Kolkata,,,,,,9819682065,USA
,Priya,,53.0,,,2023-12-04,,,,,USA
361,Amit,Female,61.0,Kolkata,,2023-12-08,,,,,Canada
C362,,Female,,Hyderabad,2021-07-21,,3515.46,1.0,,9604426628,USA
363,Simran,Male,,,2022-12-08,,4159.19,,,,
C364,Neha,,,Ahmedabad,2021-10-09,,,,user363@mail.com,9722372323,USA
365,Ravi,Male,,,2023-12-21,2025-09-02,,3.0,,,
C366,Rahul,Male,,Bangalore,2021-11-01,,2390.33,3.0,,,Australia
C367,Rahul,Male,,Bangalore,2023-12-20,,,,,,USA
C368,Ravi,,,Chennai,2020-12-10,,,,,,Canada
369,,Female,,Hyderabad,,,,,,9679599583,
370,Rahul,Female,,Hyderabad,2021-05-30,2023-11-27,,,,,USA
C371,Ankit,Male,38.0,Kolkata,2025-03-24,,3489.73,,,,India
372,Neha,Male,,Ahmedabad,,2025-10-04,,,,,India
373,Neha,,,Hyderabad,2025-05-07,,,,user372@mail.com,,Canada
,Amit,Male,,Ahmedabad,2021-01-14,,,,,,
,Pooja,Female,59.0,,,2024-10-21,,2.0,,,Australia
,Simran,Female,,Ahmedabad,,,3757.79,,,,India
C377,Ravi,Male,,,2024-06-27,,,,,,
C378,Kiran,Male,53.0,Bangalore,2023-03-04,2023-09-23,4732.23,1.0,,,Australia
379,Rahul,Female,21.0,Bangalore,2026-01-21,,4552.18,,,,Australia
380,,,,Hyderabad,2023-06-22,,,,user379@mail.com,,Australia
C381,Priya,Female,66.0,Mumbai,2021-10-06,,,1.0,,,
,Ankit,,,Bangalore,,,879.23,1.0,user381@mail.com,,USA
383,Sneha,Male,,Mumbai,,,,,,,India
384,Priya,Female,50.0,Ahmedabad,2021-07-30,,,,user383@mail.com,9352299173,UK
385,Kiran,Male,,Ahmedabad,,2024-12-12,,,,,Australia
C386,Ravi,Female,,Mumbai,2023-04-10,,,,user385@mail.com,,India
C387,Simran,,,Delhi,2020-09-26,,,,,,UK
C388,,,,Delhi,2023-06-18,2024-05-08,,,,,Canada
,Ankit,,,Hyderabad,,2021-05-01,2450.4,,,9576041210,India
,Ravi,,,Mumbai,,,,5.0,,,UK
,Pooja,Male,,Kolkata,,2022-06-07,2137.05,,,,Australia
C392,,Male,,Delhi,,,,,,9938137358,Canada
393,Amit,Female,47.0,Chennai,,,,,user392@mail.com,9932172323,Australia
394,Amit,Male,41.0,Delhi,,,,,,,UK
395,Amit,Female,,Delhi,,,,,,,India
396,Neha,,,,,,,,,,USA
C397,Kiran,,,Pune,,2024-03-27,,,,,UK
398,Neha,,,Pune,2021-12-16,,,,,,Australia
399,Kiran,,,Bangalore,,2024-05-06,,,,,
C400,Sneha,,,Mumbai,2024-04-28,,,,,9885972052,
,,Male,,Delhi,,,1363.09,,,,Canada
,,Male,,Kolkata,2025-09-01,,,,,,Canada
403,,Female,,Mumbai,2025-11-15,,,,,,Australia
404,Kiran,Male,,Bangalore,,,4857.36,,,,UK
,,Female,,Ahmedabad,,,1349.61,,user404@mail.com,9636996305,Australia
C406,Kiran,Female,,Mumbai,,,,1.0,,9992472126,India
407,Kiran,Male,48.0,Hyderabad,2021-01-14,2024-04-21,,,,9776477944,
408,Pooja,Female,,Hyderabad,,2025-12-19,,,,,UK
,Priya,,,Kolkata,,,,,,,Canada
,Simran,Male,69.0,Delhi,2020-12-27,2022-04-06,,,user409@mail.com,9216644287,Canada
C411,Neha,Male,,Mumbai,,,,,,,Australia
,,Male,48.0,Mumbai,2025-10-25,,2862.72,,user411@mail.com,,Canada
413,Pooja,Male,,Delhi,2023-08-04,,4728.52,,user412@mail.com,9471325933,UK
414,Ankit,Female,,Chennai,2025-10-15,,,,user413@mail.com,9383018930,Canada
415,Priya,Male,36.0,Mumbai,2020-10-27,,227.85,,,,Australia
416,Sneha,Male,,Ahmedabad,2023-12-09,,,,,9673173207,
C417,,Male,59.0,Kolkata,,,546.0,,,,Canada
,Priya,Female,,Pune,2024-10-26,2025-02-19,,,user417@mail.com,,
C419,Kiran,Female,,Pune,2021-01-01,,,,,,
,Ankit,Male,,Bangalore,2025-04-15,,3002.44,,,,India
,Rahul,Female,,Ahmedabad,,,,,,,USA
C422,Ravi,Male,,Chennai,,,,3.0,,,
C423,Pooja,,,Kolkata,,,,,,,UK
